year,value,country,mnemonic,varlabel,title,subtitle,wbcountry_name,wbccode,wbregion_name,wbincome_name,wblending,countryid,indicatorid,date
2015,-4.5739021,"MDV","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,228,"14 Aug 2024"
2006,.72948986,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2026,-.14350642,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2024,-.67118102,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2023,8.5408401,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2005,43.195869,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2012,-.0658282,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2006,14.582397,"MDV","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,226,"14 Aug 2024"
2014,17.716206,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2025,5.9295402,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2007,.4503966,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2021,37.687191,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2016,.49709147,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2018,15.41,"MDV","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Maldives","MDV","South Asia","Upper middle income","IDA",104,218,"14 Aug 2024"
2006,,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2008,-26.927608,"MDV","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,202,"14 Aug 2024"
2011,15.937663,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2009,3.960525,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2010,5.2578053,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2008,33.971664,"MDV","R_CON","Private consumption growth (percentage share of real GDP)","Private consumption growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,221,"14 Aug 2024"
2024,104623.44,"MDV","GOVZ","Government consumption growth (constant 2010 LCU, percentage change)","Government consumption growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,213,"14 Aug 2024"
2012,2.3637476,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2014,.13246334,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2011,-1.0429971,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2010,52.747662,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2022,9.0780983,"MDV","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Maldives","MDV","South Asia","Upper middle income","IDA",104,203,"14 Aug 2024"
2014,15.4,"MDV","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Maldives","MDV","South Asia","Upper middle income","IDA",104,218,"14 Aug 2024"
2023,78.248901,"MDV","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,222,"14 Aug 2024"
2010,75.747635,"MDV","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,222,"14 Aug 2024"
2020,-31.699509,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2007,-14.39212,"MDV","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,202,"14 Aug 2024"
2012,-7.899048,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2014,-9.0282148,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2006,6.9327588,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2016,63.962376,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2006,1.7370749,"MDV","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,201,"14 Aug 2024"
2009,-26.728073,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2015,81.310417,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2007,7.7138724,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2021,-8.6696625,"MDV","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,202,"14 Aug 2024"
2014,7.3296275,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2022,25.201429,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2015,-11.680407,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2005,71.904007,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2007,-3.3480647,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2017,3.0853913,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2022,27.870001,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2022,30.437485,"MDV","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,216,"14 Aug 2024"
2025,.01659617,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2016,14.313807,"MDV","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,226,"14 Aug 2024"
2009,-7.2288365,"MDV","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,216,"14 Aug 2024"
2013,81.426895,"MDV","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,223,"14 Aug 2024"
2024,-6.2887902,"MDV","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,214,"14 Aug 2024"
2024,-.95883,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2008,8.5301132,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2018,-10.665064,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2024,99.941498,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2024,4.6171913,"MDV","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,228,"14 Aug 2024"
2008,12.8,"MDV","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Maldives","MDV","South Asia","Upper middle income","IDA",104,218,"14 Aug 2024"
2012,3.1536961,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2005,-8.701169,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2026,12.174906,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2005,0,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2018,-.1330604,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2017,-3.0210686,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2018,7.7334733,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2019,5.1241956,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2013,-2.0147762,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2010,7.2651124,"MDV","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,214,"14 Aug 2024"
2017,8.2434349,"MDV","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,201,"14 Aug 2024"
2010,7.2651124,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2015,-.52201653,"MDV","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,201,"14 Aug 2024"
2015,78.772507,"MDV","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,223,"14 Aug 2024"
2023,-1.2710444,"MDV","GAP_","Output gap (percentage of potential output)","Output gap","percentage of potential output","Maldives","MDV","South Asia","Upper middle income","IDA",104,211,"14 Aug 2024"
2013,8.6760092,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2024,-57677.526,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2013,6.9632463,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2015,.96102512,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2016,6.1413841,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2022,.17372669,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2013,3.803056,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2025,116.90052,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2016,100.623,"MDV","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Maldives","MDV","South Asia","Upper middle income","IDA",104,219,"14 Aug 2024"
2014,57.109615,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2017,7.6749644,"MDV","TAXFC","Taxes growth (constant 2010 LCU, percentage change)","Taxes growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,228,"14 Aug 2024"
2011,-.13525151,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2014,7.3296275,"MDV","IMPZ","Imports growth (constant 2010 LCU, percentage change)","Imports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,214,"14 Aug 2024"
2017,81.944809,"MDV","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,223,"14 Aug 2024"
2016,7.2118497,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2013,7.2810764,"MDV","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Maldives","MDV","South Asia","Upper middle income","IDA",104,203,"14 Aug 2024"
2024,31743.871,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2020,12.834796,"MDV","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,224,"14 Aug 2024"
2023,4.0336299,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2009,,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2015,3.8900468,"MDV","SRVFC","Services growth (constant 2010 LCU, percentage change)","Services growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,227,"14 Aug 2024"
2022,94.085327,"MDV","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,223,"14 Aug 2024"
2021,-12.248613,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2015,3.9717157,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2026,.03458681,"MDV","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,224,"14 Aug 2024"
2012,4.50528,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2009,-7.2288365,"MDV","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Maldives","MDV","South Asia","Upper middle income","IDA",104,203,"14 Aug 2024"
2012,81.370331,"MDV","R_SRVFC","Services (percentage share of real GDP at factor cost)","Services","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,225,"14 Aug 2024"
2021,12.595145,"MDV","R_TAXFC","Taxes (percentage share of real GDP at factor cost)","Taxes","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,226,"14 Aug 2024"
2011,11.270949,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2013,15.41,"MDV","PANUSATLS","Nominal exchange rate (local currency per USD)","Nominal exchange rate","local currency per USD","Maldives","MDV","South Asia","Upper middle income","IDA",104,218,"14 Aug 2024"
2013,7.2810764,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2021,76.400284,"MDV","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,222,"14 Aug 2024"
2009,-16.518446,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2021,-4.5840549,"MDV","INDFC","Industry growth (constant 2010 LCU, percentage change)","Industry growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,215,"14 Aug 2024"
2006,11.650376,"MDV","R_INDFC","Industry (percentage share of real GDP at factor cost)","Industry","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,224,"14 Aug 2024"
2011,3.4156821,"MDV","C_LABZ","Labor force (contribution, percentage points %p)","Labor force","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,205,"14 Aug 2024"
2007,6.0633383,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2021,10.21522,"MDV","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,216,"14 Aug 2024"
2016,9.5350256,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2016,.36442351,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2022,.14183167,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2012,82.387749,"MDV","REER","Real effective exchange rate (2010 = 100)","Real effective exchange rate","2010 = 100","Maldives","MDV","South Asia","Upper middle income","IDA",104,219,"14 Aug 2024"
2005,.92890793,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2010,6.8354716,"MDV","GDPZ","GDP growth (constant 2010 LCU, percentage change)","GDP growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,212,"14 Aug 2024"
2016,-23.382694,"MDV","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,202,"14 Aug 2024"
2024,109.76575,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2023,2.9000001,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2005,-13.129291,"MDV","INVZ","Fixed investment growth (constant 2010 LCU, percentage change)","Fixed investment growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,216,"14 Aug 2024"
2011,-6.9869766,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2026,122.74554,"MDV","CPIZ","Inflation (consumer price index 2000 = 100, percentage change)","Inflation","consumer price index 2000 = 100, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,204,"14 Aug 2024"
2024,5.9439001,"MDV","CONZ","Private consumption growth (constant 2010 LCU, percentae change)","Private consumption growth","constant 2010 LCU, percentae change","Maldives","MDV","South Asia","Upper middle income","IDA",104,203,"14 Aug 2024"
2012,57.123199,"MDV","DEBT_","General government gross debt (% of nominal GDP)","General government gross debt","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,207,"14 Aug 2024"
2017,.4259744,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2008,-5.9319973,"MDV","AGRFC","Agricultural growth (constant 2010 LCU, percentage change)","Agricultural growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,201,"14 Aug 2024"
2024,1.02941,"MDV","EXPZ","Exports growth (constant 2010 LCU, percentage change)","Exports growth","constant 2010 LCU, percentage change","Maldives","MDV","South Asia","Upper middle income","IDA",104,209,"14 Aug 2024"
2010,-.15028645,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2016,.36442351,"MDV","C_TFPZ","Total factor productiity (contribution, percentage points %p)","Total factor productiity","contribution, percentage points %p","Maldives","MDV","South Asia","Upper middle income","IDA",104,206,"14 Aug 2024"
2013,-3.4868371,"MDV","DEFICIT_","General government balance (% of nominal GDP)","General government balance","% of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,208,"14 Aug 2024"
2022,85.765862,"MDV","R_EXPZ","Exports growth (percentage share of real GDP)","Exports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,222,"14 Aug 2024"
2020,70.012108,"MDV","R_IMPZ","Imports growth (percentage share of real GDP)","Imports growth","percentage share of real GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,223,"14 Aug 2024"
2007,.4503966,"MDV","TFPZ","Total factor productivity growth (percentage change %)","Total factor productivity growth","percentage change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,229,"14 Aug 2024"
2022,5.1964993,"MDV","R_AGRFC","Agriculture (percentage share of real GDP at factor cost)","Agriculture","percentage share of real GDP at factor cost","Maldives","MDV","South Asia","Upper middle income","IDA",104,220,"14 Aug 2024"
2011,-13.823137,"MDV","CAB_","Current account balance (percentage share of nominal GDP)","Current account balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,202,"14 Aug 2024"
2014,4.6899929,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
2005,0,"MDV","FDI_","Foreign direct investment balance (percentage share of nominal GDP)","Foreign direct investment balance","percentage share of nominal GDP","Maldives","MDV","South Asia","Upper middle income","IDA",104,210,"14 Aug 2024"
2013,4.1604047,"MDV","LABZ","Labor force growth (percentae change %)","Labor force growth","percentae change %","Maldives","MDV","South Asia","Upper middle income","IDA",104,217,"14 Aug 2024"
